TRACT10,GEOID10,CSA2010
10000,,Baltimore City
10100,24510010100,Canton
10200,24510010200,Patterson Park North & East
10300,24510010300,Canton
10400,24510010400,Canton
10500,24510010500,Fells Point
20100,24510020100,Fells Point
20200,24510020200,Fells Point
20300,24510020300,Fells Point
30100,24510030100,Harbor East/Little Italy
30200,24510030200,Harbor East/Little Italy
40100,24510040100,Downtown/Seton Hill
40200,24510040200,Downtown/Seton Hill
60100,24510060100,Patterson Park North & East
60200,24510060200,Patterson Park North & East
60300,24510060300,Patterson Park North & East
60400,24510060400,Oldtown/Middle East
70100,24510070100,Madison/East End
70200,24510070200,Madison/East End
70300,24510070300,Madison/East End
70400,24510070400,Oldtown/Middle East
80101,24510080101,Belair-Edison
80102,24510080102,Belair-Edison
80200,24510080200,Clifton-Berea
80301,24510080301,Clifton-Berea
80302,24510080302,Clifton-Berea
80400,24510080400,Clifton-Berea
80500,24510080500,Clifton-Berea
80600,24510080600,Greenmount East
80700,24510080700,Greenmount East
80800,24510080800,Oldtown/Middle East
90100,24510090100,Greater Govans
90200,24510090200,Northwood
90300,24510090300,The Waverlies
90400,24510090400,The Waverlies
90500,24510090500,The Waverlies
90600,24510090600,Midway/Coldstream
90700,24510090700,Midway/Coldstream
90800,24510090800,Midway/Coldstream
90900,24510090900,Greenmount East
100100,24510100100,Greenmount East
100200,24510100200,Oldtown/Middle East
100300,24510100300,Unassigned--Jail
110100,24510110100,Midtown
110200,24510110200,Midtown
120100,24510120100,North Baltimore/Guilford/Homeland
120201,24510120201,Greater Charles Village/Barclay
120202,24510120202,Greater Charles Village/Barclay
120300,24510120300,Greater Charles Village/Barclay
120400,24510120400,Greater Charles Village/Barclay
120500,24510120500,Midtown
270101,24510270101,Lauraville
270102,24510270102,Lauraville
270200,24510270200,Lauraville
270301,24510270301,Lauraville
270302,24510270302,Lauraville
270401,24510270401,Hamilton
270402,24510270402,Hamilton
270501,24510270501,Harford/Echodale
270502,24510270502,Hamilton
270600,24510270600,Harford/Echodale
270701,24510270701,Harford/Echodale
270702,24510270702,Harford/Echodale
270703,24510270703,Harford/Echodale
270801,24510270801,Loch Raven
270802,24510270802,Loch Raven
270803,24510270803,Loch Raven
270804,24510270804,Chinquapin Park/Belvedere
270805,24510270805,Chinquapin Park/Belvedere
270901,24510270901,Northwood
